"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ltbp22",4.95384970894111e-19,0.373136690862843,0.782,0.614,8.69549239410433e-15,"5","Ltbp2"
"Tmem132c",2.06754601997097e-39,0.372713282752254,0.218,0.059,3.62916352885504e-35,"5","Tmem132c"
"Uap1l11",1.4053226788318e-18,0.372656898026835,0.485,0.313,2.46676289815347e-14,"5","Uap1l1"
"Ccn12",2.57860389758809e-15,0.372639799218803,0.936,0.848,4.52622342143637e-11,"5","Ccn1"
"Pcsk6",1.47583518963486e-39,0.371890233523961,0.244,0.073,2.59053350836608e-35,"5","Pcsk6"
"Ahnak",1.51899201770894e-18,0.36924825990409,0.958,0.908,2.66628668868451e-14,"5","Ahnak"
"Nfix",4.47675719188322e-20,0.367299215822302,0.898,0.813,7.85805189891261e-16,"5","Nfix"
"Igfbp32",4.01657695474272e-09,0.364787519365427,0.605,0.49,7.0502975286599e-05,"5","Igfbp3"
"Scpep11",2.01948924185235e-20,0.363388501959439,0.627,0.438,3.54480946622343e-16,"5","Scpep1"
"Cygb",4.07796049834352e-23,0.355528918944672,0.992,0.986,7.15804406274238e-19,"5","Cygb"
"Htra11",2.19022245946448e-17,0.353472793083223,0.982,0.804,3.84449748309799e-13,"5","Htra1"
"Jam2",2.10166904022134e-68,0.348975524515527,0.271,0.056,3.68905966630052e-64,"5","Jam2"
"Adamts51",9.03714726814988e-05,0.347535756029735,0.681,0.646,1,"5","Adamts5"
"Loxl12",1.64344105498763e-21,0.346523345797512,0.948,0.835,2.88473208381978e-17,"5","Loxl1"
"Lmod1",4.7973930995971e-33,0.340628195501997,0.202,0.06,8.42086410772279e-29,"5","Lmod1"
"Npc2",3.36215523971234e-23,0.336971321759416,0.932,0.897,5.90159109226707e-19,"5","Npc2"
"Olfml2b",8.39973052098409e-12,0.333500728720051,0.317,0.202,1.47440469834834e-07,"5","Olfml2b"
"Ildr21",3.09236469279382e-13,0.330995750648211,0.764,0.616,5.42802774526099e-09,"5","Ildr2"
"Ackr3",5.25610131711821e-39,0.330076143062704,0.122,0.02,9.22603464193759e-35,"5","Ackr3"
"Cd632",2.1731983373934e-28,0.326904757102417,0.998,0.988,3.81461504162663e-24,"5","Cd63"
"Plce1",8.74202226570943e-19,0.323185930248419,0.295,0.147,1.53448716829998e-14,"5","Plce1"
"Wt1",3.49630167717282e-20,0.322766132047853,0.192,0.076,6.13705833394144e-16,"5","Wt1"
"Lpar1",9.74438849383624e-19,0.31983721140117,0.419,0.245,1.71043251232307e-14,"5","Lpar1"
"Paqr6",7.42160918586815e-35,0.319550415754166,0.222,0.068,1.30271506039544e-30,"5","Paqr6"
"Serpinb6a",1.35584631359706e-13,0.316276049311068,0.82,0.763,2.37991703425691e-09,"5","Serpinb6a"
"Grina1",1.81592691507066e-11,0.315656599135277,0.731,0.645,3.18749651402352e-07,"5","Grina"
"Pbx1",2.01530157567822e-13,0.315372332271391,0.792,0.679,3.53745885578798e-09,"5","Pbx1"
"Gxylt2",1.96726651005631e-42,0.31325124080522,0.24,0.067,3.45314290510184e-38,"5","Gxylt2"
"Thsd7a",8.78054765184641e-19,0.311661085817238,0.311,0.161,1.5412495293286e-14,"5","Thsd7a"
"Lsp11",5.51170943821928e-19,0.309848676176554,0.329,0.174,9.6747035769063e-15,"5","Lsp1"
"Sytl2",2.15052540661161e-13,0.309619487309032,0.339,0.206,3.77481724622536e-09,"5","Sytl2"
"Sdc2",6.62612316292095e-16,0.307779888973557,0.91,0.816,1.16308339878751e-11,"5","Sdc2"
"Cdh112",4.42613642274581e-16,0.303579194221915,0.487,0.31,7.76919726284573e-12,"5","Cdh11"
"Amotl2",1.80899250189472e-07,0.300864288380628,0.511,0.415,0.0031753245385758,"5","Amotl2"
"Vat11",4.32654861465159e-12,0.300476446975154,0.527,0.392,7.59439078329793e-08,"5","Vat1"
"Nenf1",1.26435623197704e-19,0.29860591078231,0.964,0.938,2.2193244939893e-15,"5","Nenf"
