"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tubb2a",8.00833906234475e-82,0.67886201636714,0.701,0.289,1.45487495745617e-77
"Nr4a3",1.84876211266067e-56,0.678582674237435,0.625,0.278,3.35864613007064e-52
"Zfp469",4.27455604020505e-171,0.675912546426702,0.476,0.018,7.76558595824051e-167
"Igfbp4",8.09883088837504e-18,0.675044181547205,0.79,0.677,1.47131460749109e-13
"Rpl12",1.36356918506911e-148,0.674068110495191,0.995,0.985,2.47719613851506e-144
"Arf5",2.10349252676304e-124,0.670722733822476,0.99,0.943,3.82141487337041e-120
"Slc8a1",1.40889850434713e-120,0.668376331179415,0.541,0.097,2.55954591284744e-116
"Lrrc59",3.93713265170956e-77,0.667246497327097,0.745,0.353,7.15258888836076e-73
"Gm10076",4.17918651214476e-94,0.664268002069515,0.974,0.857,7.59232813661338e-90
"Rplp0",6.54508820117737e-165,0.657300478410844,1,1,1.18904617350789e-160
"Rpl38",1.05966324662767e-180,0.655664286772907,0.999,0.997,1.92509022014848e-176
"Rrbp1",4.7995662427418e-110,0.653671009700573,0.995,0.952,8.71937199318904e-106
"Rps26",2.35193223945375e-127,0.651858610666257,0.996,0.987,4.27275529941562e-123
"Inppl1",1.94601902794596e-86,0.647013149570153,0.65,0.228,3.53533276806942e-82
"Rplp1",2.26552503379423e-177,0.642787577669623,1,0.999,4.11577932889397e-173
"Tnnt2",2.77798824341424e-71,0.641411402303083,0.29,0.036,5.04677124181065e-67
"Ptgs2",1.1919122202879e-62,0.638242332522424,0.213,0.015,2.16534693059702e-58
"Txndc5",6.51916177203909e-78,0.637924060867831,0.95,0.711,1.18433611912634e-73
"Lsp1",5.74013176408046e-131,0.637116638072932,0.36,0.008,1.0428097375805e-126
"S100a4",1.58502194883185e-113,0.632687688534682,0.365,0.025,2.87950937444282e-109
"Prrx1",5.46106267392382e-97,0.632399555747425,0.613,0.168,9.9211125597174e-93
"Etl4",4.8597443954053e-77,0.632292360731355,0.579,0.195,8.8286976431328e-73
"Wls",3.28838695355197e-68,0.629440923663706,0.93,0.677,5.97401257851787e-64
"Gm49708",2.89115918629478e-97,0.628605551200702,0.451,0.081,5.25236889374173e-93
"Adamts2",2.77152545743005e-68,0.627677290248648,0.965,0.791,5.03503029851317e-64
"1810058I24Rik",1.09615409548043e-78,0.627393697203821,0.982,0.914,1.9913831452593e-74
"Cdh11",6.31349929201378e-114,0.62340436932624,0.325,0.01,1.14697341638014e-109
"Pim1",3.75447835931754e-50,0.62303520403974,0.806,0.46,6.82076083537218e-46
"Clmp",4.99358173482446e-78,0.620613580347635,0.56,0.179,9.07183993765559e-74
"Rplp2",1.40042473836527e-153,0.618745285778203,0.996,0.997,2.54415162218819e-149
"Sardh",9.25604524269637e-104,0.618331695923603,0.554,0.129,1.68154573924065e-99
"Ssr1",5.66856295921342e-70,0.61695700421076,0.896,0.616,1.0298078328003e-65
"Rcn3",1.84907320477334e-97,0.615144663091266,0.987,0.915,3.35921129111173e-93
"Vkorc1",3.34134208354378e-82,0.61373144963831,0.969,0.864,6.07021616317398e-78
"Aprt",3.20167678779626e-73,0.612212851155597,0.912,0.639,5.81648622038946e-69
"Tram1",7.56895823280772e-64,0.610607214240873,0.875,0.568,1.37505264215418e-59
"Sh3bgrl3",2.28711550204542e-63,0.609217970509753,0.915,0.72,4.15500273256591e-59
"Atp5e",4.97702411113082e-131,0.603450678791904,0.993,0.987,9.04175970269136e-127
"Hcfc1r1",3.89535252832926e-64,0.596079562272831,0.923,0.71,7.07668693821577e-60
"Col16a1",1.10756808997486e-65,0.59256267870654,0.794,0.423,2.01211894905733e-61
"Cx3cl1",1.4094270588423e-60,0.592261241058193,0.545,0.206,2.56050613779881e-56
"Hspb7",2.67124589110161e-141,0.590678975261439,0.388,0.01,4.85285241036429e-137
"Sulf1",2.14036907395278e-91,0.588727692852845,0.522,0.124,3.88840849665001e-87
"Surf4",2.25122828667124e-64,0.587894970608412,0.909,0.657,4.08980642839564e-60
"Rps21",2.72015452775246e-96,0.586162385394858,0.997,0.997,4.9417047305679e-92
"P4hb",5.9005906270452e-85,0.584811092771791,0.986,0.921,1.0719602992153e-80
"Timm10b",1.81156661863752e-69,0.584614488846157,0.928,0.704,3.29107307607878e-65
"Eef1g",1.06851787263582e-82,0.584430433083932,0.988,0.903,1.94117641921749e-78
"Snhg18",9.88197726247784e-72,0.584396746265522,0.962,0.86,1.79525880927435e-67
"Ccn4",2.1896245665279e-56,0.583792526351445,0.675,0.326,3.97789095001124e-52
"Tmem45a",4.73288986811994e-107,0.582960309941483,0.568,0.126,8.5982410234135e-103
"Serf1",5.77787641480289e-70,0.581404106622285,0.765,0.373,1.04966680827724e-65
"Tmem263",1.3353968241766e-65,0.580653839519476,0.76,0.402,2.42601541048164e-61
"Micos10",1.92558888772612e-78,0.580609004308933,0.949,0.764,3.49821733233205e-74
"Hivep3",8.23725907851399e-81,0.580060731724452,0.524,0.146,1.49646285679364e-76
"Mtss1",3.00133671652402e-54,0.578981847713929,0.776,0.432,5.45252841290918e-50
"Srpx",3.33642972788172e-102,0.578952339347834,0.521,0.106,6.06129188664273e-98
"Mmp23",7.86419688329008e-65,0.578364807224041,0.724,0.335,1.42868864778731e-60
"Tnfrsf12a",1.99281071518546e-79,0.577760751624697,0.428,0.092,3.62033922627743e-75
"Pla1a",1.2652323565801e-116,0.575847298084606,0.385,0.03,2.29854762219906e-112
"Mxra7",3.67410029501066e-66,0.575324119181959,0.967,0.841,6.67473800594587e-62
"Copb2",1.39125012190564e-62,0.573899256561541,0.874,0.576,2.52748409646598e-58
"S100a1",1.953447164058e-72,0.570690640366585,0.73,0.314,3.54882746294418e-68
"Fat1",2.72652405228336e-74,0.569656650433851,0.583,0.189,4.95327624578319e-70
"Smco4",2.96591642707913e-67,0.569318622289226,0.705,0.314,5.38818037307465e-63
"Ppp1r14b",5.71191288921822e-54,0.564682094504331,0.94,0.801,1.03768321458427e-49
"Kif26b",1.78634967134766e-122,0.564048944621534,0.362,0.017,3.2452614479373e-118
"Hmgn1",8.3308000603141e-74,0.555189094626682,0.99,0.909,1.51345644695726e-69
"Rps28",7.44531153282206e-161,0.553787002489095,0.996,0.998,1.35258974616778e-156
"Ddb1",2.18378432077648e-57,0.553515963289999,0.917,0.671,3.96728097555463e-53
"Rps20",5.4913662695089e-177,0.550848063897649,1,0.999,9.97616510181681e-173
"Cda",1.77894925067828e-119,0.550597814479189,0.375,0.024,3.23181710370722e-115
"AI506816",1.65331077282648e-68,0.547592316344447,0.655,0.27,3.00356968099388e-64
"Rasl11b",5.70601047952363e-54,0.547155844231207,0.432,0.141,1.03661092381506e-49
"Rps17",3.16387267645389e-86,0.547131377454917,0.986,0.95,5.74780749131378e-82
"Ahnak2",1.85642310520556e-99,0.546312970043062,0.444,0.072,3.37256385522694e-95
"Adamtsl1",1.30722113913756e-85,0.545679976970581,0.454,0.096,2.3748286434712e-81
"Hs6st2",3.23548655436242e-110,0.544669897547502,0.391,0.038,5.87790842331021e-106
"Cstb",2.7434921055229e-43,0.540570583973074,0.866,0.64,4.98410210810345e-39
"Arrdc3",2.92460490917122e-56,0.536144346250613,0.575,0.228,5.31312973849136e-52
"Fam189a2",7.49361145569412e-121,0.535645205768591,0.403,0.032,1.36136439315595e-116
"Tagln",2.33593352398911e-46,0.534161138717069,1,0.989,4.24369043303102e-42
"Alcam",3.08046945445644e-32,0.533646473827728,0.696,0.432,5.59628885791102e-28
"Col4a1",2.7024338713457e-77,0.532289523657004,1,0.996,4.90951161407373e-73
"Ctsk",4.24626920574659e-50,0.528140948366693,0.752,0.436,7.71419726607984e-46
"Plec",1.47092958885505e-51,0.527188684846177,0.713,0.365,2.67223778407297e-47
"Col4a2",4.22466172662285e-73,0.52706962620146,0.999,0.987,7.67494295875573e-69
"Gsn",5.16813957565209e-48,0.522637468109094,0.87,0.556,9.38895916708716e-44
"Cotl1",1.27650765446648e-42,0.522485759764949,0.709,0.398,2.31903145586926e-38
"Ssr3",1.04445435956417e-63,0.522234657831705,0.97,0.818,1.89746023502023e-59
"B3gnt9",4.304563395609e-64,0.521858509429996,0.656,0.278,7.82010032080286e-60
"Lgi2",2.50315681244604e-57,0.520810127057379,0.383,0.104,4.54748498117073e-53
"Fgl2",1.88460213912081e-44,0.520279455222277,0.171,0.017,3.42375670614078e-40
"Htra3",3.39347892401168e-91,0.519301019997459,0.47,0.096,6.16493316125203e-87
"Hspb1",6.71279109407245e-58,0.518659480147371,0.748,0.365,1.21951275806014e-53
"Rpl10a",1.75173279369627e-115,0.518437335942289,0.995,0.996,3.18237296630801e-111
"Mrpl33",2.05561316340584e-57,0.518345058586566,0.929,0.762,3.7344324339594e-53
"Ssr2",2.60645293469975e-50,0.517753518515161,0.937,0.797,4.73514304646904e-46
"Rps25",3.81499451866266e-82,0.517567761741379,0.99,0.953,6.93070054205445e-78
"S100a13",8.28371640379088e-52,0.51727265364151,0.883,0.63,1.50490275907669e-47
"Ybx1",4.01622658440283e-80,0.516740802963854,0.99,0.967,7.29627883588462e-76
"Fhl2",1.91873729888578e-25,0.516041938643748,0.803,0.609,3.4857700508858e-21
"Tpt1",5.83993716804028e-170,0.515451441009476,0.999,1,1.06094138531788e-165
"Lhfpl2",1.06506423156322e-72,0.512674144652689,0.471,0.125,1.9349021894809e-68
"Rpl36al",1.14649754982274e-81,0.512151880736333,0.991,0.971,2.08284209876296e-77
"Por",1.94643858115019e-49,0.510130224334087,0.741,0.417,3.53609497037554e-45
"Siva1",1.01070135487297e-54,0.50844846165507,0.814,0.469,1.83614115139773e-50
"Yif1b",8.81345834102141e-57,0.508412135802203,0.726,0.368,1.60114097681336e-52
"Stt3a",7.44605646298613e-51,0.504678765566879,0.781,0.465,1.35272507763069e-46
"Adamts12",1.28797432603299e-52,0.503213453415391,0.65,0.298,2.33986295810414e-48
"Ier3ip1",6.11519234700232e-50,0.502630693637905,0.879,0.625,1.11094699367991e-45
"Sec24d",1.5023782003135e-54,0.501641691152573,0.749,0.388,2.72937047650954e-50
"Plp2",1.30370952200544e-75,0.501415125058605,0.538,0.159,2.36844908862727e-71
"Pdzrn3",6.28511864143008e-52,0.501149412114878,0.646,0.302,1.1418175035886e-47
"Prrc1",2.5319592308108e-51,0.500998179554204,0.718,0.372,4.59981033461398e-47
"Rnf19b",2.30362004049141e-65,0.500725133679622,0.509,0.162,4.18498652756075e-61
"Arpc1b",1.21046385249365e-55,0.499946863194409,0.978,0.908,2.19904968082522e-51
"Cyb5r3",1.60734698778313e-55,0.498667801026415,0.936,0.718,2.92006727270561e-51
"Pabpc4",1.60253596462604e-71,0.495209370970345,0.538,0.165,2.91132708693612e-67
"Svbp",2.67746575696094e-51,0.493332803169078,0.907,0.683,4.86415204067094e-47
"Bag1",4.8734897823971e-52,0.491773995894099,0.917,0.679,8.85366888768081e-48
"Tmed3",3.00524818433215e-53,0.491141327748079,0.955,0.798,5.45963437647621e-49
"Bmp1",2.31106942180325e-44,0.491056280275565,0.727,0.405,4.19851981858996e-40
"Smad7",9.08036245209928e-36,0.490954373218458,0.849,0.614,1.64962944667288e-31
"Mrpl54",5.43875448715655e-50,0.489482302609438,0.831,0.534,9.88058527681731e-46
"Nbl1",1.62378245400656e-72,0.488887240807161,0.357,0.062,2.94992558419372e-68
"Sparc",5.7373094655949e-110,0.488808331299907,1,0.999,1.04229701061463e-105
"Eid1",5.07372807600324e-51,0.48735977489025,0.951,0.754,9.21744179567509e-47
"Tnfaip6",1.45851680431632e-42,0.485506747607111,0.453,0.178,2.64968747840146e-38
"Ccn2",2.11772844260237e-13,0.484844684724642,0.865,0.762,3.84727726167572e-09
"Arhgap1",1.68846380875222e-49,0.484519889442986,0.769,0.434,3.06743220136016e-45
"Rpl14",1.23378577350779e-85,0.483961205960527,0.993,0.981,2.24141861473161e-81
"Nhs",6.21024771976129e-92,0.483584796751292,0.348,0.038,1.12821570324903e-87
"Cemip2",2.1300749944832e-77,0.482734556595391,0.361,0.06,3.86970724247764e-73
"Rpl28",1.8854142812008e-126,0.481371663711797,0.999,0.999,3.42523212465749e-122
"Cgref1",2.09144188624952e-126,0.48090713561497,0.358,0.012,3.7995224747495e-122
"Plxna4",5.11880506537469e-71,0.478324250444458,0.328,0.053,9.2993331622662e-67
"Loxl2",2.57220357346172e-32,0.477279957541097,0.934,0.817,4.67292223190791e-28
"Mef2c",8.13568998933943e-39,0.472713489145846,0.831,0.554,1.4780108003633e-34
"Ccn5",5.44391089204782e-79,0.472461097304318,0.24,0.01,9.88995291758328e-75
"Uqcc2",2.53224343470787e-50,0.471538130469273,0.866,0.578,4.60032664783378e-46
"Rpl35",7.92795527275815e-96,0.469470636919859,0.996,0.989,1.44027163440197e-91
"Ppa1",7.27774922752798e-63,0.46919879169508,0.567,0.203,1.32214870216501e-58
"Ufc1",6.59527229794132e-48,0.468545705099798,0.887,0.627,1.198163118367e-43
"Lamtor1",1.28665045783879e-46,0.467458305957628,0.835,0.511,2.33745788675573e-42
"Chst11",5.3540162223134e-94,0.467411704198119,0.4,0.056,9.72664127107676e-90
"Yif1a",1.28512040627037e-54,0.467215242466952,0.623,0.271,2.33467824207139e-50
"Gpx7",1.68314976884263e-52,0.466675380323259,0.6,0.256,3.05777818505641e-48
"Nrp2",7.38473396016537e-91,0.466085373562305,0.303,0.021,1.34158461854324e-86
"Golt1b",2.22156240978446e-49,0.464706506108233,0.698,0.353,4.03591242985542e-45
"Tcea3",1.11981262585404e-75,0.463957745217708,0.469,0.114,2.03436359738904e-71
"Erp29",1.23747820147668e-48,0.460854699574441,0.945,0.813,2.24812664862269e-44
"Serpinf1",5.3953601714635e-58,0.460228797590132,0.196,0.013,9.80175082349774e-54
"Axl",1.91392556037435e-42,0.459693578741269,0.782,0.476,3.47702856553208e-38
"Tmed2",3.22040070283581e-56,0.459455936831384,0.974,0.89,5.85050195684182e-52
"Smim3",1.15013507050805e-70,0.459409390472677,0.404,0.091,2.08945038259198e-66
"Neo1",8.5686553506955e-57,0.45923185418741,0.57,0.214,1.55666761756085e-52
"Plpp3",1.82754988442233e-31,0.458788259555371,0.501,0.248,3.32010987503005e-27
"Col27a1",1.61284985377788e-56,0.45859140777848,0.479,0.159,2.93006432935828e-52
