"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cnppd1",0.0035145292293967,0.420479427176267,0.233,0.15,1,"6","Cnppd1"
"Lypla2",0.00368069710344224,0.251018258483828,0.217,0.135,1,"6","Lypla2"
"AI413582",0.00380315373852169,0.279625189411987,0.287,0.191,1,"6","AI413582"
"Polr1d",0.00382422080913889,0.451745890623368,0.752,0.777,1,"6","Polr1d"
"Cap1",0.00394191303939384,0.383163910320165,0.45,0.354,1,"6","Cap1"
"Paxbp1",0.0039975087507655,0.295344731983704,0.217,0.136,1,"6","Paxbp1"
"Bcl2l11",0.00412287433004546,0.557959527695048,0.279,0.187,1,"6","Bcl2l11"
"Llph",0.00425242756734825,0.468244764515393,0.535,0.462,1,"6","Llph"
"Uqcrh",0.00439342277678769,0.305220075345943,0.876,0.938,1,"6","Uqcrh"
"Epn1",0.00439699788041287,0.260687100362199,0.364,0.267,1,"6","Epn1"
"Igbp1",0.00475366448678052,0.398951530106587,0.31,0.214,1,"6","Igbp1"
