"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccdc88b1",8.02715669757113e-27,0.45645524276834,0.107,0.018,1.23168692367531e-22,"Kupffer cell","Ccdc88b"
"Shtn11",9.57474451898495e-27,0.555167775520452,0.115,0.021,1.46914879899305e-22,"Kupffer cell","Shtn1"
"Irf82",1.17811094477375e-26,0.550018205198064,0.389,0.165,1.80769343366084e-22,"Kupffer cell","Irf8"
"Klhl9",1.47127603361712e-26,0.849967693261602,0.282,0.103,2.25752594598211e-22,"Kupffer cell","Klhl9"
"Evi2a2",1.72541721795302e-26,0.65608729396574,0.164,0.041,2.64748017922711e-22,"Kupffer cell","Evi2a"
"Nipa2",1.84093991187704e-26,0.716340643710167,0.201,0.058,2.82473820078413e-22,"Kupffer cell","Nipa2"
"Atp6v1a",2.12102872533461e-26,0.808342116137803,0.3,0.113,3.25450647615343e-22,"Kupffer cell","Atp6v1a"
"Wdfy41",3.87931552425075e-26,0.511426791460768,0.102,0.017,5.95242174041035e-22,"Kupffer cell","Wdfy4"
"Vrk2",4.8198719198881e-26,0.628587212029336,0.144,0.032,7.3956114738763e-22,"Kupffer cell","Vrk2"
"Erp293",5.60374772561065e-26,0.796989839427022,0.475,0.242,8.59839051017698e-22,"Kupffer cell","Erp29"
"Fam49a1",9.84002779674105e-26,0.794264326576438,0.188,0.053,1.50985386513195e-21,"Kupffer cell","Fam49a"
"Atp1a1",1.17304593259665e-25,0.884635150708421,0.525,0.294,1.79992167897631e-21,"Kupffer cell","Atp1a1"
"Pfn14",1.37214101419662e-25,0.445553100969449,0.948,0.842,2.10541317218329e-21,"Kupffer cell","Pfn1"
"Eif5b",2.32540342804454e-25,0.880452457286134,0.48,0.259,3.56809901999154e-21,"Kupffer cell","Eif5b"
"Btg13",2.39521729324339e-25,0.468974814283211,0.593,0.317,3.67522141475265e-21,"Kupffer cell","Btg1"
"Prkcb1",3.63460354505386e-25,0.691821267300309,0.219,0.069,5.57693567953064e-21,"Kupffer cell","Prkcb"
"Ppp1r9b",4.56083200956893e-25,0.802745480320843,0.29,0.111,6.99814063548257e-21,"Kupffer cell","Ppp1r9b"
"Gsr1",4.80816775666492e-25,0.77928778674019,0.298,0.115,7.37765260582665e-21,"Kupffer cell","Gsr"
"Rap1b",5.74378342941244e-25,0.778044899832756,0.614,0.379,8.81326129409045e-21,"Kupffer cell","Rap1b"
"Stx3",1.0042254402614e-24,0.585460650529514,0.154,0.038,1.54088351553709e-20,"Kupffer cell","Stx3"
"Ssh21",1.50744368406099e-24,0.832531045199002,0.394,0.182,2.31302158882319e-20,"Kupffer cell","Ssh2"
"Dok33",2.08231531806708e-24,0.455780221553282,0.133,0.029,3.19510462404213e-20,"Kupffer cell","Dok3"
"Arhgdia",2.52327544122643e-24,0.784474119998656,0.676,0.46,3.87171383701783e-20,"Kupffer cell","Arhgdia"
"Ddx60",2.84189304755854e-24,0.531189770100884,0.117,0.024,4.36060069217383e-20,"Kupffer cell","Ddx60"
"Itgb24",2.96742319232883e-24,0.6493501444349,0.227,0.075,4.55321414630936e-20,"Kupffer cell","Itgb2"
"Slc12a7",3.27525715685635e-24,0.627782951062659,0.151,0.038,5.02555458148038e-20,"Kupffer cell","Slc12a7"
"Il17ra3",4.29909323822373e-24,0.597232889910167,0.149,0.037,6.59652866473049e-20,"Kupffer cell","Il17ra"
"Arhgap305",6.1420309849479e-24,0.668073483143256,0.214,0.069,9.42433234330405e-20,"Kupffer cell","Arhgap30"
"Sla3",8.30060738462354e-24,0.602356505263883,0.167,0.046,1.27364519709664e-19,"Kupffer cell","Sla"
"Cept1",1.32374525978419e-23,0.744131934759376,0.279,0.109,2.03115472661286e-19,"Kupffer cell","Cept1"
"Zdhhc14",1.59729149043377e-23,0.516474412112189,0.12,0.025,2.45088406292158e-19,"Kupffer cell","Zdhhc14"
"Ogfrl11",2.36642899987405e-23,0.678759099762696,0.235,0.082,3.63104865740674e-19,"Kupffer cell","Ogfrl1"
"Stom2",2.83150101453661e-23,0.64757268929663,0.196,0.061,4.34465515670497e-19,"Kupffer cell","Stom"
"Tmem371",3.61964912725994e-23,0.708030687156571,0.204,0.065,5.55398962086766e-19,"Kupffer cell","Tmem37"
"Hs6st1",3.84391701679551e-23,0.624817202908805,0.193,0.059,5.89810627057103e-19,"Kupffer cell","Hs6st1"
"Tnfaip8l23",3.91148034630958e-23,0.641813581670025,0.172,0.049,6.00177544337742e-19,"Kupffer cell","Tnfaip8l2"
"Tbc1d13",4.2905253922983e-23,0.606513408313269,0.164,0.045,6.58338216194251e-19,"Kupffer cell","Tbc1d13"
"Adap22",4.60690659861548e-23,0.636486807486652,0.175,0.051,7.06883748491559e-19,"Kupffer cell","Adap2"
"Hsp90ab1",4.96834687223445e-23,0.674928773777145,0.807,0.656,7.62343144075654e-19,"Kupffer cell","Hsp90ab1"
"Rtn4",4.99235249944341e-23,0.859799259472587,0.379,0.183,7.66026567514597e-19,"Kupffer cell","Rtn4"
"Cdc421",6.38252279134864e-23,0.67795534298463,0.752,0.582,9.79334297104536e-19,"Kupffer cell","Cdc42"
"Mertk1",6.90114430060164e-23,0.668065426816092,0.352,0.154,1.05891158148432e-18,"Kupffer cell","Mertk"
"Rpl37a3",8.77575604994759e-23,0.326184226203587,1,0.991,1.34655200830396e-18,"Kupffer cell","Rpl37a"
"Fgl23",1.09359134957395e-22,0.612492478272318,0.18,0.053,1.67800656678627e-18,"Kupffer cell","Fgl2"
"Cd3022",1.11014197115165e-22,0.845029849504835,0.507,0.289,1.7034018405351e-18,"Kupffer cell","Cd302"
"Trim30a",1.14667491098251e-22,0.791257462675695,0.324,0.141,1.75945798341157e-18,"Kupffer cell","Trim30a"
"Hebp11",1.3058543071872e-22,0.757068740575867,0.261,0.097,2.00370284894804e-18,"Kupffer cell","Hebp1"
"Zfp385a1",1.59801828386297e-22,0.489860523156452,0.107,0.021,2.45199925475934e-18,"Kupffer cell","Zfp385a"
"Gng23",1.91785255181372e-22,0.704497598818158,0.251,0.093,2.94275295550298e-18,"Kupffer cell","Gng2"
"AI6078732",8.22567111471315e-22,0.70261211769619,0.272,0.106,1.26214697584159e-17,"Kupffer cell","AI607873"
"Nrros1",8.28800450536451e-22,0.646105587375911,0.274,0.106,1.27171141130313e-17,"Kupffer cell","Nrros"
"Abcg11",8.80390943541985e-22,0.699952210731086,0.334,0.145,1.35087186377082e-17,"Kupffer cell","Abcg1"
"Canx",1.05054307631367e-21,0.810344748815518,0.574,0.367,1.6119532962957e-17,"Kupffer cell","Canx"
"Fos2",1.39151467046807e-21,0.733110793112451,0.394,0.191,2.13514011036621e-17,"Kupffer cell","Fos"
"Arf3",1.82470711130963e-21,0.748391435511428,0.311,0.135,2.7998305915935e-17,"Kupffer cell","Arf3"
