,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Col4a12,2.25E-16,0.621043935,0.583,0.304,3.45E-12,6,Col4a1
Churc12,1.93E-17,0.620962384,0.438,0.197,2.96E-13,6,Churc1
Rabac11,1.30E-17,0.620573959,0.775,0.498,1.99E-13,6,Rabac1
Itga1,8.24E-28,0.619310151,0.271,0.069,1.26E-23,6,Itga1
Afap1l2,3.40E-74,0.619229061,0.125,0.004,5.22E-70,6,Afap1l2
Eif4a2,5.99E-19,0.617354774,0.696,0.399,9.20E-15,6,Eif4a2
Pf43,7.46E-23,0.617256963,0.175,0.038,1.14E-18,6,Pf4
Ccdc102a,2.07E-53,0.616841829,0.142,0.01,3.18E-49,6,Ccdc102a
Vamp2,2.74E-21,0.61504732,0.283,0.09,4.21E-17,6,Vamp2
Trp53inp21,1.74E-22,0.613632988,0.246,0.07,2.66E-18,6,Trp53inp2
Rsrp11,2.73E-14,0.61165109,0.6,0.343,4.19E-10,6,Rsrp1
Plscr41,2.54E-22,0.611045855,0.325,0.107,3.89E-18,6,Plscr4
Fbn1,1.83E-44,0.610807409,0.158,0.017,2.80E-40,6,Fbn1
Ifit3b,8.83E-26,0.609900949,0.196,0.042,1.36E-21,6,Ifit3b
Extl31,1.39E-30,0.608667882,0.15,0.023,2.13E-26,6,Extl3
Cdk6,3.55E-21,0.608416884,0.183,0.045,5.45E-17,6,Cdk6
Arhgap6,2.59E-68,0.608251255,0.154,0.009,3.97E-64,6,Arhgap6
Ntf3,2.66E-31,0.607046858,0.154,0.023,4.08E-27,6,Ntf3
Gjc2,1.48E-68,0.606974831,0.142,0.007,2.27E-64,6,Gjc2
Dnlz,2.23E-18,0.606145204,0.35,0.137,3.42E-14,6,Dnlz
Pard6g,8.01E-64,0.60556596,0.167,0.012,1.23E-59,6,Pard6g
Phf11d1,1.40E-20,0.603975997,0.188,0.047,2.15E-16,6,Phf11d
Eln,1.59E-48,0.602856668,0.112,0.007,2.45E-44,6,Eln
Naalad2,3.88E-90,0.602192749,0.146,0.004,5.96E-86,6,Naalad2
Ltbp1,5.06E-58,0.601384262,0.121,0.006,7.76E-54,6,Ltbp1
Gm2564,3.40E-78,0.601055033,0.121,0.003,5.22E-74,6,Gm2564
Sorbs11,2.43E-42,0.601051633,0.15,0.016,3.73E-38,6,Sorbs1
Ginm1,6.75E-22,0.601024687,0.383,0.139,1.04E-17,6,Ginm1
Tmem2043,1.71E-21,0.599316716,0.721,0.361,2.62E-17,6,Tmem204
Rock23,8.92E-19,0.599073939,0.3,0.106,1.37E-14,6,Rock2
Dcdc2a1,1.64E-63,0.598879121,0.133,0.007,2.52E-59,6,Dcdc2a
Unc5b,5.73E-32,0.598501914,0.146,0.02,8.79E-28,6,Unc5b
Son1,3.01E-16,0.598500945,0.713,0.431,4.62E-12,6,Son
Pofut2,1.63E-19,0.597331026,0.358,0.136,2.50E-15,6,Pofut2
Sec622,2.41E-16,0.59592866,0.642,0.354,3.69E-12,6,Sec62
Zbtb38,2.39E-17,0.59523077,0.333,0.128,3.67E-13,6,Zbtb38
Ndn1,2.09E-59,0.594673025,0.112,0.005,3.21E-55,6,Ndn
Rhbdf1,5.57E-28,0.594327585,0.15,0.025,8.54E-24,6,Rhbdf1
Casp121,5.86E-45,0.593522676,0.167,0.018,8.99E-41,6,Casp12
Pelo,1.99E-21,0.593015185,0.333,0.114,3.05E-17,6,Pelo
Wipi1,8.66E-27,0.592964495,0.238,0.057,1.33E-22,6,Wipi1
Rsu14,1.04E-14,0.592792745,0.417,0.199,1.60E-10,6,Rsu1
Ntan11,2.06E-15,0.592715292,0.367,0.16,3.16E-11,6,Ntan1
Tpd52l21,1.45E-18,0.591770941,0.329,0.123,2.22E-14,6,Tpd52l2
Ptrf2,2.08E-19,0.59133649,0.317,0.112,3.18E-15,6,Ptrf
D430019H16Rik,4.19E-54,0.590986453,0.129,0.008,6.43E-50,6,D430019H16Rik
Tgfbr32,3.86E-19,0.590778631,0.421,0.171,5.92E-15,6,Tgfbr3
Ckb2,1.08E-22,0.589376029,0.346,0.118,1.66E-18,6,Ckb
Psmb31,2.89E-17,0.587926679,0.546,0.274,4.43E-13,6,Psmb3
Bicc11,1.09E-67,0.587440848,0.146,0.008,1.67E-63,6,Bicc1
C1qtnf7,1.00E-70,0.587381688,0.125,0.004,1.54E-66,6,C1qtnf7
Pde8b,1.52E-63,0.583293456,0.142,0.008,2.33E-59,6,Pde8b
Zbtb161,8.27E-45,0.57873404,0.154,0.016,1.27E-40,6,Zbtb16
Hrct1,3.27E-91,0.57578982,0.125,0.002,5.02E-87,6,Hrct1
H2afy2,3.19E-78,0.575714837,0.146,0.006,4.89E-74,6,H2afy2
Ccdc141,1.29E-66,0.57538168,0.129,0.006,1.97E-62,6,Ccdc141
Hspb21,6.00E-63,0.575271512,0.129,0.006,9.20E-59,6,Hspb2
Cldnd11,9.15E-20,0.575220526,0.267,0.086,1.40E-15,6,Cldnd1
Mlph,6.48E-63,0.574784351,0.138,0.007,9.95E-59,6,Mlph
Fth13,2.06E-36,0.574767043,1,0.901,3.17E-32,6,Fth1
Csnk1a1,1.48E-12,0.573125764,0.567,0.327,2.27E-08,6,Csnk1a1
